gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp,startersBench
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630639.0,A.J.,Lawson,A. Lawson,aj-lawson,,,,21:18,3,7,0.429,1,4,0.25,7,7,1.0,0,0,0,0,0,0,1,1,14,-5.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,202066.0,Garrett,Temple,G. Temple,garrett-temple,,,,1:52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1629628.0,RJ,Barrett,R. Barrett,rj-barrett,,DND - Rest,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1628449.0,Chris,Boucher,C. Boucher,chris-boucher,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630193.0,Immanuel,Quickley,I. Quickley,immanuel-quickley,,DND - Rest,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1631197.0,Jared,Rhoden,J. Rhoden,jared-rhoden,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1630577.0,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,,34:45,5,9,0.556,4,6,0.667,0,0,0.0,1,5,6,1,0,1,0,1,14,2.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,203084.0,Harrison,Barnes,H. Barnes,harrison-barnes,F,,,34:12,4,10,0.4,2,7,0.286,8,8,1.0,1,4,5,1,3,0,0,0,18,4.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,202687.0,Bismack,Biyombo,B. Biyombo,bismack-biyombo,C,,,14:03,1,3,0.333,0,0,0.0,0,0,0.0,1,6,7,0,0,0,1,1,2,12.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1642264.0,Stephon,Castle,S. Castle,stephon-castle,G,,,37:16,5,16,0.313,1,3,0.333,9,9,1.0,1,7,8,6,0,0,4,2,20,2.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
